,DM
0,17.21
1,17.56
2,14.6
3,15.66
4,15.07
5,17.54
6,19.38
7,12.87
8,13.6
9,11.98
10,16.94
11,15.22
12,17.33
13,16.66
14,16.82
15,14.17
16,13.71
17,16.42
18,16.12
19,14.18
20,17.3
21,14.01
22,16.16
23,16.45
24,15.43
25,18.0
26,16.58
27,13.79
28,16.16
29,19.02
30,17.32
31,13.84
32,16.59
33,15.89
34,17.85
35,14.79
36,13.85
37,13.8
38,16.18
39,12.47
40,16.27
41,17.47
42,15.7
43,15.07
44,14.43
45,13.21
46,17.2
47,17.67
48,18.44
49,16.46
50,14.91
51,14.97
52,15.12
53,15.65
54,13.98
55,16.72
56,15.61
57,14.74
58,15.29
59,15.03
60,15.67
61,14.58
62,14.74
63,16.21
64,16.71
65,17.08
66,15.26
67,17.12
68,16.16
69,19.64
70,13.16
71,13.69
72,15.95
73,16.88
74,15.64
75,15.07
76,16.52
77,16.83
78,14.74
79,16.69
80,17.62
81,16.61
82,15.54
83,17.0
84,15.45
85,16.2
86,15.72
87,17.52
88,15.99
89,14.72
90,15.93
91,17.5
92,15.13
93,14.76
94,13.15
95,13.89
96,13.54
97,18.3
98,14.02
99,16.12
100,24.36
101,16.8
102,13.64
103,15.53
104,16.68
105,15.7
106,15.9
107,17.12
108,17.84
109,13.96
110,15.7
111,16.47
112,15.65
113,16.48
114,15.17
115,13.64
116,15.13
117,20.19
118,12.86
119,17.94
120,15.47
121,15.63
122,14.14
123,16.18
124,17.14
125,18.56
126,19.02
127,17.34
128,14.38
129,16.65
130,16.41
131,14.35
132,16.66
133,14.52
134,15.99
135,13.37
136,17.93
137,15.02
138,15.65
139,14.8
140,14.43
141,12.9
142,12.54
143,15.47
144,15.56
145,16.49
146,16.37
147,15.9
148,15.64
149,16.61
150,15.01
151,15.32
152,16.43
153,17.4
154,12.22
155,14.29
156,17.89
157,17.83
158,15.03
159,15.65
160,14.99
161,17.17
162,15.66
163,13.89
164,12.93
165,17.9
166,14.63
167,13.77
168,16.88
169,15.91
170,16.55
171,16.42
172,13.95
173,15.54
174,12.21
175,18.46
176,12.99
177,16.43
178,17.66
179,15.11
180,16.36
181,17.16
182,15.02
183,15.1
184,14.76
185,15.04
186,15.62
187,17.03
188,15.07
189,19.4
190,14.15
191,14.9
192,18.15
193,14.66
194,15.77
195,16.04
196,17.54
197,14.25
198,17.0
199,14.52
200,14.54
201,13.22
202,18.03
203,12.34
204,15.24
205,14.29
206,14.94
207,15.16
208,15.9
209,16.14
210,14.43
211,16.71
212,16.41
213,13.8
214,16.08
215,18.18
216,16.82
217,15.61
218,15.35
219,16.35
220,18.31
221,15.16
222,15.61
223,15.79
224,14.95
225,12.13
226,15.76
227,12.54
228,14.01
229,16.16
230,14.04
231,15.95
232,14.52
233,16.78
234,11.61
235,17.63
236,13.8
237,15.96
238,17.17
239,13.04
240,17.45
241,14.24
242,15.19
243,14.35
244,19.66
245,16.06
246,15.44
247,15.01
248,13.98
249,18.91
250,17.11
251,15.7
252,15.31
253,13.12
254,15.2
255,12.22
256,16.3
257,16.9
258,14.26
259,17.07
260,20.06
261,14.95
262,14.85
263,14.77
264,13.11
265,16.23
266,17.88
267,15.4
268,15.33
269,15.33
270,13.39
271,15.53
272,14.62
273,14.11
274,15.27
275,16.87
276,15.82
277,16.18
278,14.58
279,16.07
280,12.22
281,16.57
282,16.24
283,13.08
284,13.33
285,17.41
286,15.23
287,16.98
288,13.04
289,16.78
290,15.12
291,15.08
292,17.59
293,14.76
294,15.29
295,17.33
296,16.59
297,17.68
298,16.67
299,15.63
300,18.44
301,15.52
302,16.9
303,14.59
304,15.95
305,16.51
306,14.66
307,14.43
308,14.56
309,15.7
310,15.55
311,15.76
312,15.8
313,15.73
314,13.97
315,14.98
316,14.78
317,16.1
318,14.37
319,14.66
320,13.86
321,16.34
322,15.51
323,14.5
324,12.33
325,16.12
326,17.29
327,14.82
328,13.75
329,16.94
330,15.28
331,15.87
332,13.72
333,16.3
334,14.14
335,14.45
336,16.71
337,14.85
338,15.89
339,15.15
340,13.81
341,13.57
342,15.81
343,14.18
344,15.44
345,15.3
346,15.53
347,16.3
348,14.51
349,16.3
350,17.2
351,13.14
352,14.16
353,15.01
354,17.83
355,15.69
356,15.81
357,14.24
358,16.23
359,15.09
360,12.86
361,14.07
362,16.32
363,16.18
364,14.82
365,17.94
366,15.02
367,15.79
368,13.98
369,15.12
370,13.35
371,14.3
372,20.79
373,12.79
374,12.88
375,14.69
376,14.41
377,18.49
378,15.88
379,15.13
380,13.05
381,12.62
382,16.33
383,12.72
384,15.29
385,18.37
386,16.16
387,19.92
388,16.7
389,16.36
390,16.47
391,16.3
392,17.88
393,14.09
394,19.03
395,13.54
396,17.68
397,17.32
398,15.45
399,15.21
400,12.8
401,14.58
402,16.73
403,15.55
404,14.71
405,14.24
406,14.79
407,16.92
408,16.75
409,14.77
410,14.52
411,13.81
412,15.53
413,13.95
414,14.05
415,14.17
416,14.61
417,18.56
418,14.65
419,13.64
420,15.76
421,13.57
422,14.42
423,16.99
424,14.25
425,12.23
426,13.56
427,15.03
428,15.53
429,12.22
430,13.13
431,14.49
432,14.44
433,16.23
434,16.06
435,16.52
436,15.23
437,16.11
438,15.83
439,13.41
440,15.54
441,13.0
442,15.69
443,16.79
444,16.54
445,14.58
446,15.44
447,12.84
448,15.2
449,13.7
450,16.37
451,16.63
452,15.65
453,16.75
454,14.12
455,17.43
456,15.96
457,16.26
458,15.97
459,14.64
460,18.05
461,15.26
462,15.62
463,13.12
464,15.16
465,14.27
466,12.9
467,16.12
468,14.34
469,16.59
470,18.22
471,15.61
472,13.9
473,16.2
474,14.67
475,15.34
476,14.67
477,17.72
478,13.17
479,15.13
480,22.13
481,15.27
482,16.35
483,16.73
484,13.92
485,13.95
486,16.95
487,16.2
488,17.0
489,16.64
490,15.1
491,14.35
492,16.18
493,12.26
494,15.66
495,16.69
496,16.22
497,15.24
498,17.06
499,15.37
500,14.77
501,17.89
502,14.43
503,12.08
504,14.22
505,15.14
506,13.59
507,18.97
508,17.15
509,18.7
510,14.39
511,12.34
512,16.4
513,14.92
514,17.64
515,13.52
516,12.33
517,16.07
518,15.24
519,15.36
520,15.32
521,17.6
522,16.24
523,15.21
524,15.69
525,17.44
526,14.21
527,16.46
528,17.77
529,15.68
530,16.48
531,16.44
532,12.55
533,15.16
534,13.03
535,12.34
536,14.71
537,14.7
538,14.61
539,21.33
540,13.23
541,14.78
542,15.85
543,18.4
544,16.34
545,17.26
546,12.8
547,16.2
548,17.99
549,14.76
550,17.27
551,18.08
552,12.73
553,15.98
554,18.08
555,12.9
556,15.57
557,14.53
558,16.58
559,15.27
560,15.93
561,14.51
562,14.94
563,15.63
564,17.37
565,16.72
566,16.43
567,17.72
568,15.33
569,15.52
570,17.17
571,17.32
572,14.33
573,15.49
574,15.08
575,13.6
576,13.12
577,16.67
578,16.97
579,16.79
580,13.9
581,14.34
582,16.93
583,15.91
584,15.77
585,17.68
586,13.13
587,13.87
588,15.0
589,14.08
590,18.46
591,17.49
592,14.68
593,15.49
594,16.45
595,15.62
596,17.35
597,14.87
598,16.3
599,13.54
600,15.74
601,15.57
602,14.06
603,17.18
604,17.06
605,15.74
606,16.32
607,15.1
608,13.04
609,17.59
610,14.93
611,16.18
612,14.75
613,14.26
614,14.17
615,14.89
616,16.81
617,14.41
618,15.17
619,13.86
620,12.87
621,13.1
622,18.47
623,14.4
624,13.01
625,13.14
626,18.74
627,15.39
628,18.01
629,13.87
630,14.9
631,16.02
632,15.09
633,14.58
634,15.08
635,13.54
636,17.73
637,17.12
638,15.84
639,16.48
640,13.25
641,13.27
642,15.4
643,15.6
644,16.55
645,14.07
646,14.6
647,17.56
648,13.54
649,13.95
650,14.3
651,15.2
652,13.39
653,13.09
654,16.66
655,15.04
656,15.07
657,18.27
658,16.37
659,16.51
660,18.16
661,13.91
662,16.1
663,16.73
664,14.12
665,15.48
666,16.71
667,15.39
668,20.13
669,14.48
670,13.31
671,15.11
672,15.01
673,16.56
674,15.11
675,14.43
676,14.21
677,14.64
678,16.1
679,17.12
680,17.46
681,14.46
682,14.36
683,15.42
684,13.47
685,16.8
686,14.25
687,13.58
688,16.93
689,13.12
690,19.24
691,12.6
692,17.68
693,16.7
694,13.57
695,17.72
696,15.12
697,16.73
698,15.87
699,13.13
700,18.02
701,13.8
702,16.35
703,15.29
704,17.25
705,16.45
706,13.16
707,17.11
708,15.65
709,15.34
710,20.83
711,17.66
712,13.79
713,13.11
714,15.02
715,17.92
716,13.33
717,14.2
718,16.52
719,15.24
720,15.88
721,17.54
722,16.18
723,15.67
724,16.22
725,13.09
726,14.82
727,14.21
728,14.22
729,12.04
730,15.03
731,14.76
732,14.59
733,15.2
734,16.86
735,17.46
736,16.3
737,14.75
738,15.31
739,15.37
740,18.11
741,13.33
742,14.9
743,18.18
744,15.65
745,16.58
746,13.54
747,13.23
748,16.53
749,18.07
750,13.68
751,14.77
752,15.8
753,16.92
754,14.74
755,15.42
756,14.67
757,16.47
758,17.87
759,14.42
760,16.67
761,14.59
762,15.05
763,15.35
764,15.52
765,14.47
766,14.38
767,12.43
768,13.19
769,13.54
770,16.45
771,16.8
772,16.47
773,15.79
774,17.98
775,16.51
776,15.06
777,12.69
778,14.98
779,15.03
780,16.12
781,15.12
782,16.2
783,14.47
784,15.22
785,15.41
786,15.08
787,15.5
788,13.72
789,13.33
790,16.05
791,20.17
792,15.33
793,14.93
794,14.38
795,15.44
796,14.93
797,15.26
798,14.44
799,17.8
800,15.09
801,16.67
802,16.1
803,16.01
804,15.1
805,15.52
806,15.45
807,15.68
808,17.66
809,16.59
810,13.74
811,16.39
812,13.13
813,14.38
814,16.23
815,14.96
816,15.2
817,15.35
818,16.0
819,16.99
820,15.02
821,14.71
822,15.23
823,15.95
824,14.22
825,16.64
826,15.62
827,16.83
828,17.63
829,14.93
830,14.83
831,15.15
832,15.79
833,14.97
834,15.7
835,15.76
836,13.3
837,16.41
838,16.32
839,16.45
840,16.32
841,13.81
842,15.82
843,16.52
844,18.23
845,15.03
846,14.86
847,18.22
848,16.63
849,14.8
850,17.14
851,16.27
852,16.52
853,15.59
854,15.57
855,13.93
856,16.6
857,15.45
858,16.76
859,14.21
860,15.79
861,11.79
862,18.16
863,13.82
864,17.08
865,14.76
866,16.14
867,13.77
868,12.93
869,15.27
870,15.16
871,16.85
872,16.55
873,15.49
874,13.8
875,14.64
876,14.34
877,16.59
878,15.52
879,17.25
880,17.83
881,16.03
882,17.49
883,16.75
884,16.71
885,15.75
886,13.85
887,16.94
888,17.88
889,16.46
890,15.78
891,14.74
892,14.47
893,14.64
894,16.6
895,15.14
896,17.67
897,15.69
898,19.02
899,14.12
900,16.38
901,12.56
902,15.6
903,14.11
904,14.67
905,15.8
906,16.5
907,12.33
908,16.68
909,14.62
910,16.14
911,14.14
912,14.56
913,14.61
914,17.24
915,13.59
916,14.38
917,16.92
918,15.72
919,16.91
920,15.64
921,17.04
922,13.89
923,18.08
924,12.58
925,16.71
926,13.87
927,16.53
928,14.48
929,15.74
930,13.4
931,15.12
932,15.06
933,15.07
934,15.29
935,16.22
936,14.26
937,20.16
938,16.08
939,15.91
940,16.35
941,13.03
942,13.96
943,15.31
944,14.87
945,15.5
946,16.46
947,14.65
948,17.43
949,12.68
950,15.09
951,14.55
952,17.43
953,15.6
954,15.54
955,16.93
956,17.63
957,16.24
958,15.79
959,12.98
960,17.31
961,16.4
962,14.74
963,16.46
964,17.27
965,17.04
966,13.72
967,15.49
968,12.58
969,16.7
970,17.17
971,13.61
972,15.83
973,14.33
974,16.8
975,14.85
976,16.39
977,15.92
978,15.3
979,15.33
980,15.59
981,16.14
982,12.99
983,15.66
984,17.62
985,13.74
986,16.31
987,13.49
988,16.04
989,14.84
990,16.58
991,15.92
992,16.66
993,14.85
994,17.75
995,14.91
996,15.1
997,16.4
998,16.68
999,14.87
1000,18.17
1001,12.96
1002,13.26
1003,15.58
1004,15.39
1005,14.82
1006,15.93
1007,14.24
1008,14.51
1009,14.55
1010,19.79
1011,15.36
1012,14.82
1013,14.41
1014,13.19
1015,16.57
1016,15.75
1017,18.22
1018,14.09
1019,15.48
1020,12.64
1021,20.01
1022,16.98
1023,20.52
1024,17.05
1025,13.14
1026,13.39
1027,14.84
1028,14.64
1029,14.89
1030,15.49
1031,13.5
1032,14.73
1033,16.18
1034,15.65
1035,15.17
1036,14.51
1037,13.26
1038,14.79
1039,14.4
1040,16.56
1041,17.16
1042,15.82
1043,12.81
1044,13.7
1045,15.13
1046,16.55
1047,15.79
1048,13.9
1049,17.16
1050,12.71
1051,15.26
1052,15.49
1053,16.16
1054,15.47
1055,13.81
1056,16.67
1057,15.58
1058,15.46
1059,15.17
1060,15.56
1061,15.29
1062,17.87
1063,17.97
1064,16.52
1065,15.87
1066,17.16
1067,15.55
1068,12.67
1069,16.2
1070,14.5
1071,13.3
1072,15.08
1073,14.31
1074,13.15
1075,16.13
1076,15.92
1077,16.76
1078,13.04
1079,17.6
1080,15.42
1081,14.38
1082,15.82
1083,16.75
1084,14.72
1085,12.32
1086,14.8
1087,15.21
1088,14.38
1089,17.62
1090,15.98
1091,15.68
1092,16.63
1093,13.99
1094,18.07
1095,14.57
1096,17.16
1097,13.95
1098,14.06
1099,16.24
1100,17.41
1101,16.73
1102,14.07
1103,14.43
1104,15.05
1105,16.83
1106,16.41
1107,14.43
1108,16.75
1109,15.34
1110,17.5
1111,14.08
1112,16.22
1113,15.29
1114,16.51
1115,15.36
1116,16.19
1117,15.52
1118,14.05
