,MODEL_NAME,FILTER_SIZE,REG_BETA,BATCH_SIZE,RMSE_CAL,RMSE_TUNING
0,study_trial=0.h5,5,0.003,256,0.33445308655897,0.5876238905363274
1,study_trial=1.h5,37,0.014,64,0.5460558887721989,0.6219933191198227
2,study_trial=7.h5,29,0.0265,192,0.5554456499449797,0.6235005033777036
3,study_trial=19.h5,21,0.015,128,0.5271862501255091,0.6152544290816423
4,study_trial=23.h5,41,0.012,64,0.5214430831963258,0.6053997369627669
5,study_trial=35.h5,9,0.006500000000000001,128,0.4689283190742015,0.6038861171431084
6,study_trial=40.h5,29,0.0,256,0.297705079626603,0.5879914206848825
7,study_trial=59.h5,47,0.006,64,0.441090023229073,0.575535723693531
8,study_trial=61.h5,31,0.006,64,0.46129991540409804,0.5889241458302206
9,study_trial=65.h5,29,0.005,64,0.4274129661561756,0.5798519734051606
10,study_trial=68.h5,35,0.0015,192,0.21759329388543408,0.5391350572931775
11,study_trial=69.h5,27,0.006,192,0.3543862008371598,0.5732634766246849
12,study_trial=70.h5,25,0.006,64,0.4272650142294933,0.5645748126054446
13,study_trial=75.h5,37,0.0015,64,0.26665680700691224,0.5589545625191443
14,study_trial=76.h5,35,0.0,64,0.14947167077581422,0.5438030885671836
15,study_trial=80.h5,41,0.0205,128,0.5495348415523128,0.6231559490526235
16,study_trial=85.h5,31,0.0005,64,0.13210040516013316,0.5405506931902807
17,study_trial=87.h5,23,0.0045000000000000005,64,0.4310254680373239,0.5684098421218504
18,study_trial=89.h5,13,0.001,64,0.25760384988566065,0.5638438966206812
19,study_trial=93.h5,23,0.002,64,0.29094208677878125,0.5539468467911197
20,study_trial=94.h5,23,0.0025,64,0.3241285520352338,0.5682579815275078
21,study_trial=97.h5,25,0.0045000000000000005,64,0.3759995886947533,0.5714189430685858
22,study_trial=99.h5,19,0.002,64,0.2647078331317576,0.5547904335473347
23,study_trial=101.h5,47,0.002,128,0.2621763555956748,0.5458448789797489
24,study_trial=103.h5,27,0.0,128,0.1881028754984676,0.5595393946229841
25,study_trial=108.h5,23,0.0045000000000000005,128,0.3366314794821258,0.5554414112000146
26,study_trial=110.h5,21,0.001,64,0.23645148722502962,0.5558879649248251
27,study_trial=117.h5,43,0.0105,128,0.48281199013889886,0.5916502113024044
28,study_trial=118.h5,27,0.0,64,0.24418211775091958,0.5505920788712367
29,study_trial=120.h5,23,0.0005,64,0.1456922028464531,0.5401372837469925
30,study_trial=131.h5,21,0.0105,64,0.4977426385081285,0.6024673147160202
31,study_trial=132.h5,27,0.0015,64,0.2503600656842345,0.5536018277536384
32,study_trial=135.h5,17,0.0015,64,0.2603238067369544,0.5534596352267411
33,study_trial=137.h5,5,0.0005,64,0.26354748652871174,0.5792777451220203
34,study_trial=151.h5,27,0.0,128,0.18477623165082963,0.5599696946033154
35,study_trial=152.h5,23,0.001,64,0.21631510360945252,0.5378554554995848
36,study_trial=155.h5,43,0.002,64,0.3159591907333807,0.5549516988906131
37,study_trial=156.h5,45,0.015,128,0.507019009905284,0.5969043564692271
38,study_trial=159.h5,43,0.0145,128,0.5032020201875983,0.603384108549524
39,study_trial=160.h5,51,0.0145,128,0.5398606183167282,0.6179951803195378
40,study_trial=161.h5,21,0.001,64,0.22949896457486332,0.5540264381252662
41,study_trial=166.h5,35,0.01,128,0.4607168413008975,0.5886431215550403
42,study_trial=171.h5,33,0.0005,64,0.15997632899311331,0.5395076130302457
43,study_trial=172.h5,25,0.0005,64,0.21350260799912255,0.5496472799085494
44,study_trial=173.h5,45,0.0125,128,0.4760334486498957,0.5866048953831754
45,study_trial=174.h5,23,0.0015,64,0.2326561684541066,0.5472697059756918
46,study_trial=176.h5,19,0.0,128,0.2279528837323636,0.5601268084887828
47,study_trial=179.h5,19,0.0,64,0.2054025626821519,0.5508202613379846
48,study_trial=180.h5,51,0.01,128,0.4836072682600422,0.5936644392103845
49,study_trial=181.h5,25,0.0,64,0.2617652908620897,0.5682612855565108
50,study_trial=184.h5,25,0.0,64,0.19871889310298638,0.5677476717650474
